Thema,Beschreibung der aktuellen Situation,Gewünschtes Verhalten ,Beispiele,Lösungsansatz (muss noch nicht ausgefüllt werden),Aus den Personas,Aus Nutzendenfeedback (kann die Aussage nur einer Referandarin als Nutzendenfeedback gewertet werden? Anm. AK)
Aktuelle Literatur,Das Erscheinungsjahr wird zu wenig berücksichtigt. ,Vorsichtige Berücksichtigung von Erscheinungsjahren der letzten drei/fünf/10  Jahre,Marokko ,"•	[bq, publishDateSort:2023^180]
•	[bq, publishDateSort:2022^160]
•	[bq, publishDateSort:2021^140]
•	[bq, publishDateSort:2020^120]
•	[bq, publishDateSort:2019^100]
•	[bq, publishDateSort:2018^80]
•	[bq, publishDateSort:2017^60]
•	[bq, publishDateSort:201^50]
•	[bq, publishDateSort:2015^40]
•	[bq, publishDateSort:2014^30]
•	[bq, publishDateSort:2013^20]
•	[bq, publishDateSort:202*^300]","Als Peter möchte ich die neueste Sekundärliteratur zu Andreas Gryphius suchen, um die Literaturliste für mein Seminar zu aktualisieren. 
Als Peter möchte ich die neuesten Fachaufsätze zu Andreas Gryphius in internationalen Zeitschriften recherchieren können. 
Als Leo möchte ich die neueste Literatur zu Kulturgeschichte des deutschen Kaiserreichs im Recherche-System ermitteln können. Die Trefferliste sollte mir die relevanten Titel zielgenau und am Anfang präsentieren. Für eine realistische Ausarbeitung der zeitlichen Umstände, in denen sich meine Romanfiguren bewegen, benötige ich den neuesten wissenschaftlichen Forschungsstand.",
Aktuelle Literatur,"Suche nach nach einem Autorennamen  (""alle Felder"") findet Treffer mit Fokus auf den Titelbereich. Aktuell sucht das System nur nach möglichst vielen Nennungen. Bsp.: „Goethe“  --> Aktuell rankt hier eine einseitige Rezension im „The School Review“ aus dem Jahr 1901 ganz oben, da im Titel 4x “Goethe” vorkommt …",Wenn der Name sowohl im Titel als auch im Autorenfeld erscheint, diese Treffer höher ranken,Goethe,,,Referendarin Carolin Hahn
Aktuelle Literatur/ Autorennamensuche (über alle Felder),Gleiches Beispiel wie oben (Goethe),"Erscheinungsjahr als erstes Relevanzkriterium sowie ergänzend als zweites – falls möglich – die Anzeige des Autors mit den meisten Publikationen im Index (dann als obersten Treffer). 
","Beispiel „Goethe“: 
1. Treffer von 2009 
2. von 1954 
3. über einen Ralph Goethe.",,,Referendarin Carolin Hahn
Katalogbestand zu wenig präsent,Daten aus großen anderen Kollektionen dominieren Treffermengen,Bevorzugung der Kollektion Stabikat,"Rezensionen zu gesuchten Publikationen. Bsp.
Young, Iris Marion: Inclusion and Democracy. ",Boosting von collection GVK,,Kritik: Rezension kommt vor der Originalpublikation, Beispiel: Werner Breitung
Thematische Suchen,SE-Daten werden zu wenig berücksichtigt ,stärkere Berücksichtigung von SE-Daten,siehe them. Suchen,,,
Erscheinungsformen,,In der Titelsuche würde ich mir “Monografie” vor “Aufsatz” wünschen, sofern es gleichrangige Treffer gibt.,,,,Referendarin Carolin Hahn / Bemerkung: widerspricht Anforderung aus Personas, aktuelle/neueste Literatur zu finden
,,,,,,
Weitere Hinweise zum Ranking aus Feedback von Nutzer:innen,,,,,,
Ranking nach Seriosität der Zeitschrift ,Ranking der Zeitschrift anhand externer Zeitschriftenrankings,,,,,
z.B. englische Titel höher ranken als chinesische,Kann Ranking an die Suchsprache gekoppelt werden?,,,,,
Dubletten nicht immer nacheinander,,,,,,